code_iso;code_key
USA;USA-California-Modoc
USA;USA-California-Mono
USA;USA-California-Monterey
USA;USA-California-Napa
USA;USA-California-Nevada
USA;USA-California-Orange
USA;USA-California-Placer
USA;USA-California-Plumas
USA;USA-California-Riverside
USA;USA-California-Sacramento
USA;USA-California-San-Benito
USA;USA-California-San-Bernardino
USA;USA-California-San-Diego
USA;USA-California-San-Francisco
USA;USA-California-San-Joaquin
USA;USA-California-San-Luis-Obispo
USA;USA-California-San-Mateo
USA;USA-California-Santa-Barbara
USA;USA-California-Santa-Clara
USA;USA-California-Santa-Cruz
USA;USA-California-Shasta
USA;USA-California-Sierra
USA;USA-California-Siskiyou
USA;USA-California-Solano
USA;USA-California-Sonoma
USA;USA-California-Stanislaus
USA;USA-California-Sutter
USA;USA-California-Tehama
USA;USA-California-Trinity
USA;USA-California-Tulare
USA;USA-California-Tuolumne
USA;USA-California-Ventura
USA;USA-California-Yolo
USA;USA-California-Yuba
USA;USA-Colorado-Adams
USA;USA-Colorado-Alamosa
USA;USA-Colorado-Arapahoe
USA;USA-Colorado-Archuleta
USA;USA-Colorado-Baca
USA;USA-Colorado-Bent
USA;USA-Colorado-Boulder
USA;USA-Colorado-Broomfield
USA;USA-Colorado-Chaffee
USA;USA-Colorado-Cheyenne
USA;USA-Colorado-Clear-Creek
USA;USA-Colorado-Conejos
USA;USA-Colorado-Costilla
USA;USA-Colorado-Crowley
USA;USA-Colorado-Custer
USA;USA-Colorado-Delta
USA;USA-Colorado-Denver
USA;USA-Colorado-Dolores
USA;USA-Colorado-Douglas
USA;USA-Colorado-Eagle
USA;USA-Colorado-El-Paso
USA;USA-Colorado-Elbert
USA;USA-Colorado-Fremont
USA;USA-Colorado-Garfield
USA;USA-Colorado-Gilpin
USA;USA-Colorado-Grand
USA;USA-Colorado-Gunnison
USA;USA-Colorado-Hinsdale
USA;USA-Colorado-Huerfano
USA;USA-Colorado-Jackson
USA;USA-Colorado-Jefferson
USA;USA-Colorado-Kiowa
USA;USA-Colorado-Kit-Carson
USA;USA-Colorado-La-Plata
USA;USA-Colorado-Lake
USA;USA-Colorado-Larimer
USA;USA-Colorado-Las-Animas
USA;USA-Colorado-Lincoln
USA;USA-Colorado-Logan
USA;USA-Colorado-Mesa
USA;USA-Colorado-Mineral
USA;USA-Colorado-Moffat
USA;USA-Colorado-Montezuma
USA;USA-Colorado-Montrose
USA;USA-Colorado-Morgan
USA;USA-Colorado-Otero
USA;USA-Colorado-Ouray
USA;USA-Colorado-Park
USA;USA-Colorado-Phillips
USA;USA-Colorado-Pitkin
USA;USA-Colorado-Prowers
USA;USA-Colorado-Pueblo
USA;USA-Colorado-Rio-Blanco
USA;USA-Colorado-Rio-Grande
USA;USA-Colorado-Routt
USA;USA-Colorado-Saguache
USA;USA-Colorado-San-Juan
USA;USA-Colorado-San-Miguel
USA;USA-Colorado-Sedgwick
USA;USA-Colorado-Summit
USA;USA-Colorado-Teller
USA;USA-Colorado-Washington
USA;USA-Colorado-Weld
USA;USA-Colorado-Yuma
USA;USA-Connecticut-Fairfield
USA;USA-Connecticut-Hartford
USA;USA-Connecticut-Litchfield
USA;USA-Connecticut-Middlesex
USA;USA-Connecticut-New-Haven
